timestamp,desert_temp_c,desert_cloud_cover,desert_wind_speed_ms,desert_wind_direction_deg,desert_humidity,desert_pressure
2025-09-06 00:00:00,27.2,6,5.2,78,50,879.4
2025-09-06 01:00:00,27.2,38,3.9,112,51,879.7
2025-09-06 02:00:00,26.5,28,3.3,167,37,879.9
2025-09-06 03:00:00,25.5,2,3.6,225,40,880.3
2025-09-06 04:00:00,24.5,2,4.8,257,44,880.8
2025-09-06 05:00:00,23.7,0,4.3,275,49,880.8
2025-09-06 06:00:00,23.0,0,1.9,292,52,881.1
2025-09-06 07:00:00,22.5,0,1.5,256,51,881.0
2025-09-06 08:00:00,22.0,0,1.3,214,55,880.8
2025-09-06 09:00:00,21.6,0,0.5,135,52,880.7
2025-09-06 10:00:00,21.3,0,0.8,153,45,880.5
2025-09-06 11:00:00,21.0,50,0.4,90,47,880.6
2025-09-06 12:00:00,20.7,1,2.4,63,48,880.8
2025-09-06 13:00:00,20.5,0,4.2,59,51,881.4
2025-09-06 14:00:00,21.4,0,5.9,52,51,882.3
2025-09-06 15:00:00,22.9,0,6.8,58,80,883.3
2025-09-06 16:00:00,24.2,1,7.2,63,70,883.7
2025-09-06 17:00:00,25.4,0,8.8,71,63,884.2
2025-09-06 18:00:00,26.4,0,10.9,73,56,884.3
2025-09-06 19:00:00,27.4,20,12.9,72,59,884.3
2025-09-06 20:00:00,28.2,1,14.6,74,51,884.0
2025-09-06 21:00:00,28.5,23,14.3,72,49,883.7
2025-09-06 22:00:00,28.5,38,12.1,63,50,883.5
2025-09-06 23:00:00,27.9,18,6.5,56,44,883.4
2025-09-07 00:00:00,27.6,50,2.6,74,46,883.6
2025-09-07 01:00:00,27.4,5,3.6,180,47,883.9
2025-09-07 02:00:00,26.5,9,4.3,228,51,883.9
2025-09-07 03:00:00,25.4,7,6.4,254,50,884.4
2025-09-07 04:00:00,24.1,0,7.7,242,50,884.7
2025-09-07 05:00:00,23.2,0,7.3,237,52,884.9
2025-09-07 06:00:00,22.4,0,7.1,246,53,884.7
2025-09-07 07:00:00,21.9,0,6.6,248,51,884.5
2025-09-07 08:00:00,21.7,0,6.5,251,48,884.5
2025-09-07 09:00:00,21.5,0,6.2,263,48,884.2
2025-09-07 10:00:00,21.3,0,5.0,270,47,883.9
2025-09-07 11:00:00,21.0,0,3.1,249,47,883.6
2025-09-07 12:00:00,20.7,0,2.3,231,46,883.8
2025-09-07 13:00:00,20.4,0,1.5,256,45,884.0
2025-09-07 14:00:00,21.5,0,1.1,342,45,884.9
2025-09-07 15:00:00,23.3,0,1.9,68,42,885.9
2025-09-07 16:00:00,24.5,0,3.7,79,39,886.3
2025-09-07 17:00:00,25.6,0,4.3,85,49,886.5
2025-09-07 18:00:00,26.8,0,4.7,90,55,886.4
2025-09-07 19:00:00,28.0,3,4.3,114,54,886.4
2025-09-07 20:00:00,29.2,12,3.8,197,45,886.6
2025-09-07 21:00:00,30.1,44,14.0,244,44,886.6
2025-09-07 22:00:00,29.8,38,23.2,258,42,885.9
2025-09-07 23:00:00,29.0,41,23.8,267,39,885.5
