hour,wind_speed_ms_observed,wind_direction_deg_observed,wind_gust_ms_observed,wind_speed_ms_forecast,wind_direction_deg_forecast,wind_gust_ms_forecast,wind_speed_diff,wind_dir_diff
2025-09-06 06:00:00,,,,8.7,308.0,5.4,,
2025-09-06 07:00:00,,,,6.8,302.0,2.2,,
2025-09-06 08:00:00,,,,6.8,288.0,2.9,,
2025-09-06 09:00:00,,,,8.1,291.0,6.8,,
2025-09-06 10:00:00,,,,8.7,294.0,4.3,,
2025-09-06 11:00:00,,,,8.0,306.0,4.0,,
2025-09-06 12:00:00,,,,7.1,319.0,6.1,,
2025-09-06 13:00:00,,,,6.6,319.0,5.4,,
2025-09-06 14:00:00,,,,7.9,317.0,5.0,,
2025-09-06 15:00:00,,,,8.4,320.0,4.7,,
2025-09-06 16:00:00,,,,8.7,312.0,5.4,,
2025-09-06 17:00:00,,,,10.7,303.0,6.8,,
2025-09-06 18:00:00,,,,11.6,296.0,11.9,,
2025-09-06 19:00:00,,,,12.6,294.0,14.4,,
2025-09-06 20:00:00,,,,13.8,290.0,17.3,,
2025-09-06 21:00:00,,,,13.7,288.0,13.3,,
2025-09-06 22:00:00,,,,12.7,295.0,14.0,,
2025-09-06 23:00:00,,,,11.2,303.0,11.9,,
2025-09-07 00:00:00,,,,11.1,295.0,14.8,,
2025-09-07 01:00:00,,,,11.1,299.0,8.3,,
2025-09-07 02:00:00,,,,11.6,300.0,11.2,,
2025-09-07 03:00:00,,,,9.2,309.0,9.4,,
2025-09-07 04:00:00,,,,7.8,304.0,7.6,,
2025-09-07 05:00:00,,,,7.2,307.0,6.5,,
